"date","hourly","txid","iso_symbol","time","value","currency","open","USD_value","EUR","USD","GBP","SGD","EUR_value","GBP_value","SGD_value","high.dt","time.dev.h"
2021-04-27,2021-04-27 04:00:00,"6710CEB632EAE45E5BDCE2683E0B4C8352739BB28C65AAE24B85B33DE816C7AA","XRP",2021-04-27 03:32:10,44.1392,"XRP",1.36663,60.321954896,0.8272,1.00003,0.71928,1.32627,49.8983210899712,43.3883757175949,80.0031991199179,2021-04-16 01:00:00,11.125
2021-04-27,2021-04-27 04:00:00,"D2313C049994C7BD7715475242DB1CB4394581533921F063C39002B797FA39D8","XRP",2021-04-27 03:53:01,207.490512,"XRP",1.36663,283.56275841456,0.8272,1.00003,0.71928,1.32627,234.563113760524,203.961020872425,376.080779602479,2021-04-16 01:00:00,11.125
2021-04-27,2021-04-27 05:00:00,"E5E4885A6941718315DD247469E550E606B21E2B95E94B0362606871C7973D6F","XRP",2021-04-27 05:23:12,29.7816,"XRP",1.43565,42.75595404,0.8272,1.00003,0.71928,1.32627,35.367725181888,30.7535026218912,56.7059391646308,2021-04-16 01:00:00,11.1666666666667
2021-04-27,2021-04-27 06:00:00,"7C2D704C5D83EA7BF65BD7B8BC00CCC3D57400E609F83AC3BF0F3DC4280BCA82","XRP",2021-04-27 05:56:10,1426.384372,"XRP",1.42,2025.46580824,0.8272,1.00003,0.71928,1.32627,1675.46531657613,1456.87704655087,2686.31453749446,2021-04-16 01:00:00,11.2083333333333
2021-04-27,2021-04-27 06:00:00,"CACFA5D4132315066AB47777164629843218167ADB0405C6A4A9508F04A8292D","XRP",2021-04-27 05:53:31,125.4,"XRP",1.42,178.068,0.8272,1.00003,0.71928,1.32627,147.2978496,128.08075104,236.16624636,2021-04-16 01:00:00,11.2083333333333
2021-04-27,2021-04-27 06:00:00,"DFCB8DC84767135BCCCBE7F6D37DD65B3ED7F91024A0BE7F105FEC8D2546A0F0","XRP",2021-04-27 05:43:10,1016.0804,"XRP",1.42,1442.834168,0.8272,1.00003,0.71928,1.32627,1193.5124237696,1037.80176035904,1913.58767199336,2021-04-16 01:00:00,11.2083333333333
2021-04-27,2021-04-27 07:00:00,"5383717BC5FA939D4CEB8F3FBF69BD88A580A388A3DE67F4F941159085689A33","XRP",2021-04-27 07:22:51,97.19996,"XRP",1.41864,137.8917512544,0.8272,1.00003,0.71928,1.32627,114.06405663764,99.1827788422648,182.881692936173,2021-04-16 01:00:00,11.25
2021-04-27,2021-04-27 07:00:00,"8090DCA437E9847321B949642DBF75DFACBBD066D15C27B6352485BFD36461D6","XRP",2021-04-27 07:09:00,126.6,"XRP",1.41864,179.599824,0.8272,1.00003,0.71928,1.32627,148.5649744128,129.18256140672,238.19785857648,2021-04-16 01:00:00,11.25
2021-04-27,2021-04-27 08:00:00,"44A36D1A03A92AFCE026CDF01729164DA20D62E488DB4DE2D3B1184F68111CF0","XRP",2021-04-27 07:50:30,1430.1068,"XRP",1.41764,2027.376603952,0.8272,1.00003,0.71928,1.32627,1677.04592678909,1458.25144369059,2688.84876852342,2021-04-16 01:00:00,11.2916666666667
2021-04-27,2021-04-27 08:00:00,"88A548A7FD9DB6EADE7410F15FF4A6DBFCD1139A98806996287A782AFCF935F8","XRP",2021-04-27 08:03:01,143.2336,"XRP",1.41764,203.053680704,0.8272,1.00003,0.71928,1.32627,167.966004678349,146.052451456773,269.304005107294,2021-04-16 01:00:00,11.2916666666667
2021-04-27,2021-04-27 08:00:00,"8CE7B7015670AC61F7152B3A5CB17F848F3FEB7EA7D3DAA5C543AAF7655EA6D8","XRP",2021-04-27 07:37:20,115.8,"XRP",1.41764,164.162712,0.8272,1.00003,0.71928,1.32627,135.7953953664,118.07895548736,217.72408004424,2021-04-16 01:00:00,11.2916666666667
2021-04-27,2021-04-27 08:00:00,"BC5F3CEA1C73D14852DBFF90CA5947822B14060AECB75F58B6AC1E91891582AE","XRP",2021-04-27 08:10:00,155.96,"XRP",1.41764,221.0951344,0.8272,1.00003,0.71928,1.32627,182.88989517568,159.029308271232,293.231843900688,2021-04-16 01:00:00,11.2916666666667
2021-04-27,2021-04-27 09:00:00,"039737D294224E3FAF9C77DA5F1FC01474ED89948E1BF71A133E053788A908E5","XRP",2021-04-27 09:15:50,138.210268,"XRP",1.4243,196.8528847124,0.8272,1.00003,0.71928,1.32627,162.836706234097,141.592342915935,261.080075407515,2021-04-16 01:00:00,11.3333333333333
2021-04-27,2021-04-27 09:00:00,"BCDEAFCDD0B6324DF59F1E5BD1BD150D4CC8343F29B783C8E9A9263F2F8500F2","XRP",2021-04-27 09:14:32,28.444,"XRP",1.4243,40.5127892,0.8272,1.00003,0.71928,1.32627,33.51217922624,29.140039015776,53.730896932284,2021-04-16 01:00:00,11.3333333333333
2021-04-27,2021-04-27 09:00:00,"DE4A362D137D635127C333697C12DAD779C753DDBDD96C1C1048160C3B803B47","XRP",2021-04-27 08:47:02,266.31996,"XRP",1.4243,379.319519028,0.8272,1.00003,0.71928,1.32627,313.773106139962,272.83694364646,503.080098501266,2021-04-16 01:00:00,11.3333333333333
2021-04-27,2021-04-27 10:00:00,"98097C0C19339A220914EFCB394A64B3B4996A540B86D1B8061957987B99AC62","XRP",2021-04-27 09:30:50,273.822,"XRP",1.42492,390.17444424,0.8272,1.00003,0.71928,1.32627,322.752300275328,280.644674252947,517.476660162185,2021-04-16 01:00:00,11.375
2021-04-27,2021-04-27 10:00:00,"AAF5A6500E1EA01BF41B63331235F09B6F348DDF141B0E83D1A170D862A4A37B","XRP",2021-04-27 10:23:32,200.499492,"XRP",1.42492,285.69573614064,0.8272,1.00003,0.71928,1.32627,236.327512935537,205.49522909124,378.909683971247,2021-04-16 01:00:00,11.375
2021-04-27,2021-04-27 11:00:00,"3BC26A2B6732B62826C8E072B3C3EDD1510338C64761A9D80CB6B0AFC8F1F5ED","XRP",2021-04-27 11:11:02,158.919096,"XRP",1.40283,222.93647544168,0.8272,1.00003,0.71928,1.32627,184.413052485358,160.353748055692,295.673959284037,2021-04-16 01:00:00,11.4166666666667
2021-04-27,2021-04-27 11:00:00,"FD4B0D4C78C876871CC4BE19A67F776E052102F5D920716D982980E21CC7BB0A","XRP",2021-04-27 10:43:41,303.096208,"XRP",1.40283,425.19245346864,0.8272,1.00003,0.71928,1.32627,351.719197509259,305.832427930923,563.919995261853,2021-04-16 01:00:00,11.4166666666667
2021-04-27,2021-04-27 12:00:00,"8C291F51A2D65E756E6A1ECC63E60BF2B879469520A025AA5E42398CF6A0FB9A","XRP",2021-04-27 12:17:02,207.2348,"XRP",1.37518,284.985152264,0.8272,1.00003,0.71928,1.32627,235.739717952781,204.98412032045,377.967257893175,2021-04-16 01:00:00,11.4583333333333
2021-04-27,2021-04-27 12:00:00,"CC6514F4AB22A01B1D0C79366D8DAA0B11FCB918BD6BD2D04D757F3C7F69DFB4","XRP",2021-04-27 11:49:31,96.6084,"XRP",1.37518,132.853939512,0.8272,1.00003,0.71928,1.32627,109.896778764326,95.5591816121914,176.20019435658,2021-04-16 01:00:00,11.4583333333333
2021-04-27,2021-04-27 12:00:00,"F9F245CA4F89EA10001BBA11EC18E018C0EA2D4AD7E6EF82C0BB5EF557B21D7B","XRP",2021-04-27 12:17:20,85.44,"XRP",1.37518,117.4953792,0.8272,1.00003,0.71928,1.32627,97.19217767424,84.512076350976,155.830596571584,2021-04-16 01:00:00,11.4583333333333
2021-04-27,2021-04-27 13:00:00,"5FF04C76A40DB5DBB9D388F5D35857B3BC6C79D7FC8C5B3C80F0759D045005E7","XRP",2021-04-27 13:20:42,82.06582,"XRP",1.3966,114.613124212,0.8272,1.00003,0.71928,1.32627,94.8079763481664,82.4389279832074,152.007948248649,2021-04-16 01:00:00,11.5
2021-04-27,2021-04-27 13:00:00,"664C9E7FA5495349C896FDC55831DC975EF59B3D52F3D3175ACEE452FDCDE88E","XRP",2021-04-27 12:52:10,40,"XRP",1.3966,55.864,0.8272,1.00003,0.71928,1.32627,46.2107008,40.18185792,74.09074728,2021-04-16 01:00:00,11.5
2021-04-27,2021-04-27 13:00:00,"82EE502D4D4F5BFF83D51D2F7EC52336AA8C8C64868AB7DA6229F6DD462851E3","XRP",2021-04-27 13:14:50,95.8,"XRP",1.3966,133.79428,0.8272,1.00003,0.71928,1.32627,110.674628416,96.2355497184,177.4473397356,2021-04-16 01:00:00,11.5
2021-04-27,2021-04-27 13:00:00,"D11901ABF2882BD90B3EA75A60B96FA17AADA1E2049E688DA1CE78F5781C6717","XRP",2021-04-27 12:59:21,100,"XRP",1.3966,139.66,0.8272,1.00003,0.71928,1.32627,115.526752,100.4546448,185.2268682,2021-04-16 01:00:00,11.5
